all_regi,ttot,pop_SSP1,pop_SSP2,pop_SSP3,pop_SSP4,pop_SSP5
CAZ,2105,11.501067417346196,11.525832966962266,11.199034029164922,11.087953463806198,11.427337886830667
CHA,2105,11.412234222320363,11.479744933555958,9.498355827783842,9.79903680882169,11.415746221309183
EUR,2105,11.443757497287327,11.408568933944439,10.423599920028542,10.49345024779659,11.39954949689815
IND,2105,11.37318493834695,12.554133040141267,7.280927378469318,7.593783558686805,11.373518230399782
JPN,2105,11.686268752482809,11.68530247197073,11.417291347808247,11.290232287805305,11.617511111745493
LAM,2105,9.48221879137947,9.65897429129986,7.199776353938142,6.874525666337042,9.482271869776334
MEA,2105,6.716356557608789,6.762131177729348,5.0870320846433525,4.390587851853702,6.8714063814315764
NEU,2105,12.177733085820389,12.629133875401687,8.93413995699281,9.094298537874273,12.023997115592671
OAS,2105,11.277747842419123,12.087073793198929,6.65012907189412,6.286250358108135,11.196307830535478
REF,2105,9.603721638973914,9.494488893025293,8.907668795110016,8.706613946750135,9.736459783425795
SSA,2105,8.122246166870587,8.922166737707164,4.71575170706934,4.620741437244787,8.123459980927368
USA,2105,10.575294758929807,10.59159866618266,10.113277073447412,10.003011376929594,10.501357425040807
CAZ,2110,11.501067417346196,11.525832966962266,11.199034029164922,11.087953463806198,11.427337886830667
CHA,2110,11.412234222320363,11.479744933555958,9.498355827783842,9.79903680882169,11.415746221309183
EUR,2110,11.443757497287327,11.408568933944439,10.423599920028542,10.49345024779659,11.39954949689815
IND,2110,11.37318493834695,12.554133040141267,7.280927378469318,7.593783558686805,11.373518230399782
JPN,2110,11.686268752482809,11.68530247197073,11.417291347808247,11.290232287805305,11.617511111745493
LAM,2110,9.48221879137947,9.65897429129986,7.199776353938142,6.874525666337042,9.482271869776334
MEA,2110,6.716356557608789,6.762131177729348,5.0870320846433525,4.390587851853702,6.8714063814315764
NEU,2110,12.177733085820389,12.629133875401687,8.93413995699281,9.094298537874273,12.023997115592671
OAS,2110,11.277747842419123,12.087073793198929,6.65012907189412,6.286250358108135,11.196307830535478
REF,2110,9.603721638973914,9.494488893025293,8.907668795110016,8.706613946750135,9.736459783425795
SSA,2110,8.122246166870587,8.922166737707164,4.71575170706934,4.620741437244787,8.123459980927368
USA,2110,10.575294758929807,10.59159866618266,10.113277073447412,10.003011376929594,10.501357425040807
CAZ,2115,11.501067417346196,11.525832966962266,11.199034029164922,11.087953463806198,11.427337886830667
CHA,2115,11.412234222320363,11.479744933555958,9.498355827783842,9.79903680882169,11.415746221309183
EUR,2115,11.443757497287327,11.408568933944439,10.423599920028542,10.49345024779659,11.39954949689815
IND,2115,11.37318493834695,12.554133040141267,7.280927378469318,7.593783558686805,11.373518230399782
JPN,2115,11.686268752482809,11.68530247197073,11.417291347808247,11.290232287805305,11.617511111745493
LAM,2115,9.48221879137947,9.65897429129986,7.199776353938142,6.874525666337042,9.482271869776334
MEA,2115,6.716356557608789,6.762131177729348,5.0870320846433525,4.390587851853702,6.8714063814315764
NEU,2115,12.177733085820389,12.629133875401687,8.93413995699281,9.094298537874273,12.023997115592671
OAS,2115,11.277747842419123,12.087073793198929,6.65012907189412,6.286250358108135,11.196307830535478
REF,2115,9.603721638973914,9.494488893025293,8.907668795110016,8.706613946750135,9.736459783425795
SSA,2115,8.122246166870587,8.922166737707164,4.71575170706934,4.620741437244787,8.123459980927368
USA,2115,10.575294758929807,10.59159866618266,10.113277073447412,10.003011376929594,10.501357425040807
CAZ,2120,11.501067417346196,11.525832966962266,11.199034029164922,11.087953463806198,11.427337886830667
CHA,2120,11.412234222320363,11.479744933555958,9.498355827783842,9.79903680882169,11.415746221309183
EUR,2120,11.443757497287327,11.408568933944439,10.423599920028542,10.49345024779659,11.39954949689815
IND,2120,11.37318493834695,12.554133040141267,7.280927378469318,7.593783558686805,11.373518230399782
JPN,2120,11.686268752482809,11.68530247197073,11.417291347808247,11.290232287805305,11.617511111745493
LAM,2120,9.48221879137947,9.65897429129986,7.199776353938142,6.874525666337042,9.482271869776334
MEA,2120,6.716356557608789,6.762131177729348,5.0870320846433525,4.390587851853702,6.8714063814315764
NEU,2120,12.177733085820389,12.629133875401687,8.93413995699281,9.094298537874273,12.023997115592671
OAS,2120,11.277747842419123,12.087073793198929,6.65012907189412,6.286250358108135,11.196307830535478
REF,2120,9.603721638973914,9.494488893025293,8.907668795110016,8.706613946750135,9.736459783425795
SSA,2120,8.122246166870587,8.922166737707164,4.71575170706934,4.620741437244787,8.123459980927368
USA,2120,10.575294758929807,10.59159866618266,10.113277073447412,10.003011376929594,10.501357425040807
CAZ,2125,11.501067417346196,11.525832966962266,11.199034029164922,11.087953463806198,11.427337886830667
CHA,2125,11.412234222320363,11.479744933555958,9.498355827783842,9.79903680882169,11.415746221309183
EUR,2125,11.443757497287327,11.408568933944439,10.423599920028542,10.49345024779659,11.39954949689815
